"ID","name","group","Lx","Ly","Lz","m","V","ρ","source"
"70","Axor 2628/45 6x4 F/C","V5","9.455","2.494","3.006","8121","70.9","114.6","https://www.focusontransport.co.za/wp-content/uploads/2018/02/Mercedes-Benz-Truck-Specifications.pdf "
"71","Axor 2528L/51 6x2 F/C","V5","10.405","2.494","2.940","7278","76.3","95.4","https://www.focusontransport.co.za/wp-content/uploads/2018/02/Mercedes-Benz-Truck-Specifications.pdf "
"72","Dumpster (large)","F1","1.370","0.815","1.305","50","1.5","34.3","https://www.topalmacen.com/producto/contenedor-de-residuos-carga-trasera-770-litros.html?gclid=CjwKCAjw4ayUBhA4EiwATWyBrhIaKW8bMCjNUN_eceExvYZHAVKgflrcL4cNhe0Ic6JeP1E3hyzVhhoCtJQQAvD_BwE"
"73","Rubble container (rectangular)","F1","4.500","1.900","0.750","1350","6.4","210.5","https://www.werner-weber.com/en/rubble-containers-bsc/"
"74","Dumpster (small)","F1","0.870","0.620","1.100","17","0.6","28.4","https://www.topalmacen.com/producto/Contenedor_Residuos_en_PEHD_2_Ruedas_360_litros_/ "
"75","Dumpster (small)","F1","0.750","0.570","1.090","13","0.5","28.5","https://www.topalmacen.com/producto/Contenedor_de_Residuos_240_litros_en_PEHD_2_Ruedas_/"
"76","Urban bin","F1","0.600","0.420","0.900","30","0.2","132.3","https://www.archiproducts.com/en/products/vestre/outdoor-galvanized-steel-litter-bin-with-lid-urban-litter-bin_296832"
"77","Transport container 20’","F1","6.060","2.440","2.590","1270","38.3","33.2","https://www.profishop.es/contenedor-de-almacenamiento-containex-20-lc20-0000000012?number=CO4-17&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb1LhHs5WwRghNFAW5FpmAelu7qVlzDJMJvAGKpJOXSpce6UQKYBXyxoCHB4QAvD_BwE"
"78","Bin","F1","0.350","0.220","0.680","2","0.1","43.9","https://www.topalmacen.com/producto/Cubo_de_Basura_de_Pl%C3%A1stico_Verde_60_litros_/"
"79","Rubble container (rectangular)","F1","5.000","1.900","0.750","1450","7.1","203.5","https://www.werner-weber.com/en/rubble-containers-bsc/"
"80","Bin","F1","0.500","0.480","0.990","4","0.2","17.3","https://www.topalmacen.com/producto/Papelera_Pl%C3%A1stica_Maigmo_80_Litros_/"
"81","Transport container 15’","F1","4.550","2.200","2.260","915","22.6","40.4","https://www.profishop.es/contenedor-de-almacenamiento-containex-15-lc15-0000000006"
"82","Rubble container (rectangular)","F1","5.500","1.900","0.750","1550","7.8","197.8","https://www.werner-weber.com/en/rubble-containers-bsc/"
"83","Transport container 9’","F1","2.930","2.200","2.260","690","14.6","47.4","https://www.profishop.es/contenedor-de-almacenamiento-containex-9-lc09-0000000006"
"84","Rubble container (trapezoidal)","F1","3.400","1.800","1.000","575","6.1","94.0","http://www.vercasa.net/"
"85","Transport container 6’","F1","1.980","1.970","1.910","450","7.5","60.4","https://www.profishop.es/contenedor-de-almacenamiento-containex-de-6-lc06-0000000007"
"86","Plastic garden shed","F2","2.270","1.850","2.370","72","10.0","7.2","https://www.leroymerlin.es/fp/82836070/caseta-de-resina-manor-6x8-de-185-8x227x237-cm-y-3-9-m2?keyword=&ds_kid=92700068911156385&ds_ag=Categor%C3%ADas+-+Jardin&ds_c=LM_Empoderar_AO_SmartShopping_Jardin/Exterior_Generica_Google_Conversion_OMD&source=google&adtype=&gclid=CjwKCAjwp9qZBhBkEiwAsYFsb7pg-ffWWrLHMeAVuFV-Sk3vld6Jn72tPoFZdK_GLDh41NIZkd_zMxoCXI8QAvD_BwE&gclsrc=aw.ds"
"87","Electric water heater","F2","0.604","0.433","0.451","14","0.1","118.7","https://www.leroymerlin.es/fp/82005336/termo-electrico-equation-eq1-50l#fichaTecnica"
"88","Wooden garden shed","F2","2.830","2.720","2.100","270","16.2","16.7","https://www.leroymerlin.es/fp/17441543/caseta-de-madera-mirama-de-283x210x272-cm-y-7-7-m2"
