"ID","year","country","V1","V2","V3","V4","V5","F1","F2","DP","DC","DW","DM","DO","source"
"104","2009","France","0","0","0","0","0","0","1","1","1","1","0","0","https://www.alamy.es/foto-equipo-de-busqueda-y-rescate-en-la-crecida-del-rio-tras-las-inundaciones-cerca-de-sainte-maxime-provenza-en-el-sur-de-francia-25904945.html?imageid=0DC0224F-9EFF-4397-981C-8D07ECE0A033&p=20774&pn=1&searchId=2aff0965d291c9d7901b96ab64f837eb&searchtype=0"
"105","2009","Saudi Arabia","0","1","1","0","1","0","0","0","0","1","0","0","https://www.arabnews.com/featured/news/823991"
"106","2009","Saudi Arabia","0","1","0","0","0","0","0","0","0","0","0","0","https://floodlist.com/asia/saudi-arabia-floods-jeddah-november-2022"
"107","2009","Saudi Arabia","0","1","0","0","0","0","0","0","0","0","0","0","https://twitter.com/OxfordEnglishMe/status/1595691691658428418?s=20"
"108","2009","Saudi Arabia","0","0","0","0","0","1","0","0","0","0","0","1","https://youtu.be/BjmfxcqThLM?t=14"
"109","2009","Saudi Arabia","0","1","0","0","0","0","0","0","0","1","0","0","https://youtu.be/BjmfxcqThLM?t=6"
"110","2010","Brazil","0","1","1","1","0","0","1","1","1","0","0","0","https://www.cbsnews.com/pictures/brazil-floods/"
"111","2010","Brazil","0","0","0","0","0","0","0","1","1","0","1","0","https://www.cbsnews.com/pictures/brazil-floods/"
"112","2010","Brazil","0","1","0","0","0","0","0","1","1","0","1","0","https://edition.cnn.com/2010/WORLD/americas/06/24/brazil.floods/index.html"
"113","2010","Brazil","0","1","0","0","0","0","0","0","1","1","0","1","http://www.stuff.co.nz/world/4536762/Hundreds-killed-in-Brazilian-floods"
"114","2010","Brazil","0","0","0","0","0","1","0","1","1","0","1","0","http://edition.cnn.com/2010/WORLD/americas/06/23/brazil.floods/index.html"
"115","2010","Brazil","0","0","0","0","0","0","0","0","1","0","0","0","https://commons.wikimedia.org/wiki/File:2010_Madeira_floods_and_mudslides_21.jpg"
